date,ftse100,sp500_usd,fx
1/2/1996,3687.9,620.73,0.64246707356248
1/3/1996,3715.6,621.32,0.644454469291745
1/4/1996,3714.1,617.7,0.646705037832245
1/5/1996,3704.5,616.71,0.644329896907216
1/8/1996,3720.6,618.46,0.645369474023879
1/9/1996,3720.6,609.45,0.646203554119548
1/10/1996,3671.5,598.48,0.646997929606625
1/11/1996,3654.9,602.69,0.647458724506313
1/12/1996,3657.3,601.81,0.645702847549558
1/16/1996,3710.6,608.44,0.650195058517555
1/17/1996,3704.2,606.37,0.655522779416585
1/18/1996,3748.7,608.24,0.656685053848174
1/19/1996,3748.4,611.83,0.662558802093686
1/22/1996,3754.2,613.4,0.660720185001652
1/23/1996,3735,612.79,0.660720185001652
1/24/1996,3758.2,619.96,0.66260270341903
1/25/1996,3734.2,617.03,0.66334991708126
1/26/1996,3734.7,621.62,0.665335994677312
1/29/1996,3734.6,624.22,0.663878377481246
1/30/1996,3735.3,630.15,0.665026268537607
1/31/1996,3759.3,636.02,0.662427133015368
2/1/1996,3752.8,638.46,0.660851176315094
2/2/1996,3781.3,635.84,0.65832784726794
2/5/1996,3746.6,641.43,0.651380927566441
2/6/1996,3747.5,646.33,0.649266329048176
2/7/1996,3726.1,649.93,0.650829808005207
2/8/1996,3708.4,656.07,0.650448809678678
2/9/1996,3716.3,656.37,0.652826739783262
2/12/1996,3726.6,661.45,0.653253200940685
2/13/1996,3747.6,660.51,0.651890482398957
2/14/1996,3745,655.58,0.650575759547199
2/15/1996,3779.8,651.32,0.64998375040624
2/16/1996,3770.9,647.98,0.645702847549558
2/20/1996,3714.6,640.65,0.647458724506313
2/21/1996,3725.6,648.1,0.648298217179903
2/22/1996,3740,658.86,0.647878198898607
2/23/1996,3740.3,659.08,0.648929266709929
2/26/1996,3704.2,650.46,0.649350649350649
2/27/1996,3715.9,647.24,0.649434991557345
2/28/1996,3738.2,644.75,0.6521030322791
2/29/1996,3727.6,640.43,0.652741514360313
3/1/1996,3752.7,644.37,0.654750212793819
3/4/1996,3768.6,650.81,0.654278984559016
3/5/1996,3777.1,655.79,0.65402223675605
3/6/1996,3758.9,652,0.65402223675605
3/7/1996,3758.2,653.65,0.65359477124183
3/8/1996,3710.3,633.5,0.656167979002625
3/11/1996,3674.5,640.02,0.656254101588135
3/12/1996,3639.5,637.09,0.65733254453428
3/13/1996,3640.3,638.55,0.656814449917898
3/14/1996,3681.8,640.87,0.656555708751888
3/15/1996,3644.8,641.43,0.655737704918033
3/18/1996,3669.6,652.65,0.65359477124183
3/19/1996,3693,651.69,0.652443400535004
3/20/1996,3685.4,649.98,0.650364203954214
3/21/1996,3698.3,649.19,0.651041666666667
3/22/1996,3707,650.62,0.652145558888744
3/25/1996,3681.9,650.04,0.656598818122127
3/26/1996,3660.9,652.97,0.656167979002625
3/27/1996,3672.4,648.91,0.658718134510243
3/28/1996,3672.6,648.94,0.65621103746965
3/29/1996,3699.7,645.5,0.655222120298781
4/1/1996,3718.4,653.73,0.65599580162687
4/2/1996,3728.5,655.26,0.65582371458552
4/3/1996,3725.1,655.88,0.655307994757536
4/4/1996,3755.6,655.86,0.6538084341288
4/9/1996,3758.6,642.19,0.65603883749918
4/10/1996,3767.4,633.5,0.661594442606682
4/11/1996,3744.2,631.18,0.661157024793388
4/12/1996,3766.8,636.71,0.66124446207763
4/15/1996,3790.5,642.49,0.662910175671197
4/16/1996,3825.3,645,0.663525977042001
4/17/1996,3805.6,641.61,0.6635700066357
4/18/1996,3820.7,643.61,0.662251655629139
4/19/1996,3857.1,645.07,0.659282700421941
4/22/1996,3852.7,647.89,0.661725780836421
4/23/1996,3833,651.58,0.659587098476354
4/24/1996,3817.6,650.17,0.660589245607082
4/25/1996,3819.3,652.87,0.661069610629999
4/26/1996,3832.8,653.46,0.662120108587698
4/29/1996,3809.2,654.16,0.662514906585398
4/30/1996,3817.9,654.17,0.664451827242525
5/1/1996,3806,654.58,0.668985817500669
5/2/1996,3776.4,643.38,0.665335994677312
5/3/1996,3751.6,641.63,0.664805212072863
5/7/1996,3723,638.26,0.661157024793388
5/8/1996,3707.3,644.77,0.657246138678935
5/9/1996,3728.3,645.44,0.657030223390276
5/10/1996,3754.4,652.09,0.656900742297839
5/13/1996,3739.2,661.51,0.660283922086497
5/14/1996,3759.7,665.6,0.66010957818998
5/15/1996,3776.2,665.42,0.660938532716457
5/16/1996,3753.6,664.85,0.660807506773277
5/17/1996,3789.6,668.91,0.66006600660066
5/20/1996,3778.2,673.15,0.660938532716457
5/21/1996,3789.4,672.76,0.661594442606682
5/22/1996,3764.2,678.42,0.662120108587698
5/23/1996,3747,676,0.660763843002511
5/24/1996,3752.1,678.51,0.661813368630046
5/28/1996,3760.2,672.23,0.661069610629999
5/29/1996,3775.7,667.93,0.657418973111564
5/30/1996,3746.7,671.7,0.65167807103291
5/31/1996,3747.8,669.12,0.645369474023879
6/3/1996,3739.2,667.68,0.644537544311956
6/4/1996,3755.2,672.56,0.645786244752987
6/5/1996,3753.4,678.44,0.646245314721468
